Supplementary Tabl 4.2. Phenotype data formatted for calculating correlations and QTL mapping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Only winter/extended cold temperature associated traits were used for QTL mapping in this chapter (columns D:AE). Additional columns used to calculate correlations. Planting replicates indicated as W1-W3. Spike replicates indicated as 1 or 2. anth = anthocyanin. OD = average of T and C experimental replicates. T = cold shock/LMA-treated. C = control/untreated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Genotype,Subpop. ID,WLMA freq.,cube W avg.,cube W1 avg.,cube W2 avg.,cube W3 avg.,cube W1.S1 avg.,cube W1.S2 avg.,cube W2.S1 avg.,cube W2.S2 avg.,cube W3.S1 avg.,cube W3.S2 avg.,W avg.,W1 avg.,W2 avg.,W3 avg.,W1.S1 avg.,W1.S2 avg.,W2.S1 avg.,W2.S2 avg.,W3.S1 avg.,W3.S2 avg.,avg. anth. count,avg. grain fill,avg. spike distortion,avg. spike curl,W1.anth. count,W2.anth. count,W3.anth. count,TLMA_freq,CLMA_freq,cube avg. OD,cube avg. T,cube avg. C
HT080125LU,5,HT080125LU_5,3,0.953312536,0.904758744,0.812562125,1.097515052,0.913080571,0.896280949,0.805046228,0.819941499,1.039039424,1.150346461,0.866375,0.740625,0.5365,1.322,0.76125,0.72,0.52175,0.55125,1.12175,1.52225,2.333333333,1.666666667,0.666666667,0.666666667,0,3,4,2,1,0.677535049,0.690896871,0.656444765
HT080125LU,6,HT080125LU_6,3,1.214390775,0.823704732,1.230607363,1.434232655,0.91117748,0.712201065,1.190139098,1.268575914,1.118822103,1.650963624,1.790916667,0.558875,1.863625,2.95025,0.7565,0.36125,1.68575,2.0415,1.4005,4.5,1.666666667,3,0.333333333,0.333333333,0,2,3,3,2,1.127624996,0.987425888,1.259732033
HT080125LU,7,HT080125LU_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0.62404298,0.677486637,0.559433242
HT080125LU,8,HT080125LU_8,1,0.736012354,0.67414157,0.596507488,0.878286957,0.687358097,0.66038545,0.60504997,0.587713066,0.921596943,0.830223968,0.398708333,0.306375,0.21225,0.6775,0.32475,0.288,0.2215,0.203,0.78275,0.57225,1.666666667,3,0,0,0,3,2,1,3,0.756556277,0.867237461,0.645231373
HT080125LU,9,HT080125LU_9,1,0.993724591,0.651672223,1.349931409,0.591667218,0.656348058,0.646928308,1.336490781,1.363109595,0.617756372,0.563048847,0.981291667,0.27675,2.46,0.207125,0.28275,0.27075,2.38725,2.53275,0.23575,0.1785,1.666666667,3,0.666666667,0,2,0,3,2,2,0.8481928,0.810629911,0.897910103
JD,P11,PW avg.,3,0.82420186,0.805720713,0.879742952,0.780642141,0.84541942,0.761669345,0.86938169,0.889865737,0.799504902,0.760820904,0.5598875,0.5230625,0.680875,0.475725,0.60425,0.441875,0.6571,0.70465,0.51105,0.4404,1.777777778,2.688888889,0.177777778,0.283333333,1.333333333,2.4,1.6,1,1,0.612484932,0.630139005,0.593749879
JD,P1,PJ avg.,2,0.733283686,0.763192509,0.805028011,0.600578146,0.788360108,0.736245593,0.779395763,0.829124333,0.604548761,0.596554324,0.394290278,0.44453125,0.521714583,0.216625,0.489975,0.3990875,0.47345,0.569979167,0.22095,0.2123,2.725054466,2.721568627,0.17254902,0.066666667,3.222222222,2.352941176,2.6,1,0,0.607231449,0.693303833,0.485671227
JD,58,JD_10,1,0.698067231,0.764745241,0.686298176,0.629960525,0.877746472,0.602076141,0.732327593,0.633094709,0.629960525,NA,0.340166667,0.44725,0.32325,0.25,0.67625,0.21825,0.39275,0.25375,0.25,NA,1.333333333,2.333333333,0.666666667,0.333333333,3,1,0,0,0,0.439826608,0.450616439,0.428479698
JD,59,JD_11,2,0.939402064,0.686475057,1.101100826,0.939213164,0.684168455,0.688766261,1.159963832,1.035165555,0.942883105,0.935514316,0.829,0.3235,1.335,0.8285,0.32025,0.32675,1.56075,1.10925,0.83825,0.81875,4,3,0,1,4,4,4,1,0,0.622175188,0.645571474,0.590201297
JD,60,JD_12,2,0.817143042,1.045101903,0.707570883,0.520636548,0.999833306,1.086755777,0.693996274,0.720643714,0.527763209,0.513309251,0.545625,1.1415,0.35425,0.141125,0.9995,1.2835,0.33425,0.37425,0.147,0.13525,3,2.333333333,0.333333333,0.666666667,3,3,3,1,1,0.70419146,0.688238875,0.7164519
JD,61,JD_13,1,0.977780797,NA,0.653726134,1.167226489,NA,NA,0.682204495,0.622523534,1.349016201,0.89855736,0.9348125,NA,0.279375,1.59025,NA,NA,0.3175,0.24125,2.455,0.7255,2.333333333,3,0,0,0,4,3,1,1,0.674986028,0.718147889,0.635992207
JD,62,JD_14,1,0.736473563,0.965757502,0.511404561,0.547231264,1.01848937,0.90653677,0.51986683,0.50265257,0.526864122,0.566185674,0.399458333,0.90075,0.13375,0.163875,1.0565,0.745,0.1405,0.127,0.14625,0.1815,1.666666667,2.333333333,0,0.666666667,1,2,2,2,0,0.592264567,0.682954002,0.459404291
JD,63,JD_15,2,0.9018139,1.05720666,0.91407902,0.634028937,1.066555435,1.047689553,0.794097178,1.008838321,0.592736498,0.670546817,0.733416667,1.181625,0.76375,0.254875,1.21325,1.15,0.50075,1.02675,0.20825,0.3015,2.333333333,3,0.333333333,0.666666667,3,2,2,3,3,0.8578177,0.900077154,0.820737559
JD,64,JD_16,3,1.372743775,1.45562618,1.628006269,0.712283201,1.234638663,1.62442978,1.634504459,1.621455786,0.689818618,0.733413673,2.586833333,3.08425,4.314875,0.361375,1.882,4.2865,4.36675,4.263,0.32825,0.3945,3,2.333333333,0.333333333,0,2,4,3,1,3,0.824014594,0.817377722,0.830546245
JD,65,JD_17,1,0.695377708,0.668222063,0.659428645,0.751035606,0.662100744,0.67423324,0.688766261,0.627218781,0.765314778,0.736191782,0.33625,0.298375,0.28675,0.423625,0.29025,0.3065,0.32675,0.24675,0.44825,0.399,2.333333333,2.333333333,0.666666667,0,0,3,4,1,0,0.551446943,0.626072824,0.468655466
JD,66,JD_18,1,1.120251591,1.353306936,NA,0.693303489,0.825970697,1.637835236,NA,NA,0.707404396,0.678604404,1.405875,2.4785,NA,0.33325,0.5635,4.3935,NA,NA,0.354,0.3125,1.333333333,2.5,0,0,1,0,3,3,3,1.270289624,1.396758848,1.111877712
JD,67,JD_19,3,1.093975328,0.749925919,1.461072584,0.728736163,0.719196635,0.778324257,1.251252079,1.623481817,0.760590492,0.693823207,1.30925,0.42175,3.119,0.387,0.372,0.4715,1.959,4.279,0.44,0.334,2,2.666666667,0.333333333,0,0,3,3,3,3,1.098025997,1.244344824,0.896678429
JD,49,JD_1,3,0.958918777,1.164375321,0.802919024,0.818824411,1.200867428,1.125440157,0.629540271,0.922772825,0.949121996,0.624025147,0.88175,1.578625,0.517625,0.549,1.73175,1.4255,0.2495,0.78575,0.855,0.243,2.666666667,3,0.666666667,0,2,3,3,2,2,0.854005191,0.76885533,0.91158882
JD,68,JD_20,3,0.992527636,1.282177892,0.709976194,0.776117016,1.347824571,1.209017712,0.714003698,0.705902471,0.92995876,0.507552026,0.97775,2.107875,0.357875,0.4675,2.4485,1.76725,0.364,0.35175,0.80425,0.13075,1.666666667,1.666666667,0,0,1,3,1,2,0,0.606348486,0.661301381,0.539077452
JD,69,JD_21,0,0.584315805,0.672947584,0.562917386,0.48682242,0.619063797,0.719357709,0.561467241,0.564360097,0.478050542,0.495289087,0.1995,0.30475,0.178375,0.115375,0.23725,0.37225,0.177,0.17975,0.10925,0.1215,2.333333333,3,0.333333333,0.666666667,2,3,2,0,1,0.629349972,0.512313323,0.714058181
JD,70,JD_22,2,0.898841101,1.024995043,NA,0.721445143,1.036641037,1.013078215,NA,NA,0.72951992,0.713185449,0.7261875,1.076875,NA,0.3755,1.114,1.03975,NA,NA,0.38825,0.36275,1,1.5,1,0,2,0,1,1,0,0.605852127,0.619281165,0.584516226
